Nebraska, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.85,5.19
201002,5.81,5.29
201003,5.79,5.40
201004,5.83,5.39
201005,5.48,4.95
201006,6.92,6.42
201007,7.40,6.75
201008,7.38,6.58
201009,6.82,6.04
201010,5.90,5.10
201011,5.28,4.51
201012,4.65,3.91
201101,4.63,3.97
201102,4.31,3.79
201103,3.69,3.30
201104,3.82,3.38
201105,4.80,4.27
201106,4.68,4.18
201107,5.10,4.45
201108,5.52,4.72
201109,-0.41,-1.19
201110,0.44,-0.36
201111,-0.22,-0.99
201112,-0.13,-0.87
201201,-0.37,-1.03
201202,0.64,0.12
201203,-1.29,-1.68
201204,-1.10,-1.54
201205,-2.01,-2.54
201206,-3.28,-3.78
201207,-4.77,-5.42
201208,-5.70,-6.50
201209,-6.34,-7.12
201210,-5.95,-6.75
201211,-6.06,-6.83
201212,-5.58,-6.32
201301,-5.41,-6.07
201302,-4.98,-5.50
201303,-5.07,-5.46
201304,-4.24,-4.68
201305,-3.29,-3.82
201306,-3.60,-4.10
201307,-3.71,-4.36
201308,-3.29,-4.09
201309,-3.13,-3.91
201310,-1.76,-2.56
201311,-1.54,-2.31
201312,-1.63,-2.37
201401,-1.72,-2.38
201402,-1.55,-2.07
201403,-1.95,-2.34
201404,-1.99,-2.43
201405,-2.30,-2.83
201406,1.66,1.16
201407,1.28,0.63
201408,2.60,1.80
201409,2.76,1.98
201410,2.53,1.73
201411,2.12,1.35
201412,2.44,1.70
201501,2.04,1.38
201502,1.98,1.46
201503,0.81,0.42
201504,0.76,0.32
201505,2.05,1.52
201506,2.51,2.01
201507,3.08,2.43
201508,3.49,2.69
201509,3.44,2.66
201510,3.18,2.38
201511,3.63,2.86
201512,4.35,3.61
201601,4.07,3.41
201602,3.99,3.47
201603,3.42,3.03
201604,5.00,4.56
201605,5.36,4.83
201606,4.03,3.53
201607,4.15,3.50
201608,3.91,3.11
201609,3.55,2.77
201610,2.94,2.14
201611,2.31,1.54
201612,2.23,1.49
201701,2.41,1.75
201702,2.12,1.60
201703,1.67,1.28
201704,1.59,1.15
201705,2.18,1.65
201706,0.89,0.39
201707,0.57,-0.08
201708,1.64,0.84
201709,1.78,1.00
201710,2.72,1.92
201711,2.02,1.25
201712,1.70,0.96
201801,1.75,1.09
201802,1.67,1.15
201803,1.30,0.91
201804,1.24,0.80
201805,1.45,0.92
201806,1.97,1.47
201807,3.08,2.43
201808,3.22,2.42
201809,3.37,2.59
201810,4.12,3.32
201811,4.04,3.27
201812,5.11,4.37
201901,4.72,4.06
201902,4.75,4.23
201903,5.92,5.53
201904,5.39,4.95
201905,7.05,6.52
201906,6.59,6.09
201907,7.14,6.49
201908,8.50,7.70
201909,8.09,7.31
201910,7.91,7.11
201911,7.52,6.75
201912,7.57,6.83
202001,7.22,6.56
202002,6.62,6.10
202003,6.58,6.19
202004,5.58,5.14
202005,5.69,5.16
202006,4.48,3.98
202007,4.85,4.20
202008,-0.83,-1.63
202009,-1.36,-2.14
202010,-1.46,-2.26
202011,-1.65,-2.42
202012,-1.56,-2.30
202101,-1.36,-2.02
202102,-1.33,-1.85
202103,1.26,0.87
202104,-0.25,-0.69
202105,-0.05,-0.58
202106,-0.94,-1.44
202107,-1.08,-1.73
202108,-1.00,-1.80
202109,-1.18,-1.96
202110,-0.76,-1.56
202111,-1.37,-2.14
202112,-1.65,-2.39
202201,-1.87,-2.53
202202,-2.29,-2.81
202203,-2.85,-3.24
202204,-3.17,-3.61
