Alabama, Precipitation,
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
201001,6.21,1.03
201002,4.22,-0.96
201003,5.07,-1.09
201004,2.82,-1.99
201005,6.15,1.91
201006,3.26,-1.02
201007,3.5,-1.94
201008,4.83,0.49
201009,1.61,-2.17
201010,2.59,-0.24
201011,4.73,0.88
201012,2.2,-2.95
201101,4.03,-1.15
201102,3.49,-1.69
201103,8.18,2.02
201104,5.08,0.27
201105,1.64,-2.6
201106,3.55,-0.73
201107,5.52,0.08
201108,2.05,-2.29
201109,7.21,3.43
201110,0.79,-2.04
201111,4.13,0.28
201112,5.04,-0.11
201201,5.44,0.26
201202,4.49,-0.69
201203,5.35,-0.81
201204,1.89,-2.92
201205,4.16,-0.08
201206,4,-0.28
201207,5.75,0.31
201208,6.07,1.73
201209,5.35,1.57
201210,2.91,0.08
201211,1.36,-2.49
201212,6.61,1.46
201301,6.27,1.09
201302,8.86,3.68
201303,3.83,-2.33
201304,5.71,0.9
201305,4,-0.24
201306,5.81,1.53
201307,8.7,3.26
201308,5.5,1.16
201309,3.2,-0.58
201310,1.47,-1.36
201311,3.42,-0.43
201312,7.93,2.78
201401,2.7,-2.48
201402,5.75,0.57
201403,5.57,-0.59
201404,9.67,4.86
201405,4.27,0.03
201406,5.23,0.95
201407,3.36,-2.08
201408,3.25,-1.09
201409,2.51,-1.27
201410,4.38,1.55
201411,2.98,-0.87
201412,6.36,1.21
201501,4.34,-0.84
201502,4.05,-1.13
201503,4.28,-1.88
201504,7.14,2.33
201505,4.32,0.08
201506,3.27,-1.01
201507,4.71,-0.73
201508,4.94,0.6
201509,2.71,-1.07
201510,2.93,0.1
201511,6.8,2.95
201512,11.87,6.72
201601,4.06,-1.12
201602,5.85,0.67
201603,5.42,-0.74
201604,5.68,0.87
201605,2.14,-2.1
201606,3.81,-0.47
201607,4.27,-1.17
201608,4.58,0.24
201609,1.72,-2.06
201610,0.13,-2.7
201611,2.3,-1.55
201612,5.05,-0.1
201701,9.17,3.99
201702,3.7,-1.48
201703,4.17,-1.99
201704,4.09,-0.72
201705,7.01,2.77
201706,10.7,6.42
201707,5.06,-0.38
201708,6.07,1.73
201709,3.25,-0.53
201710,6.03,3.2
201711,1.05,-2.8
201712,3.89,-1.26
201801,2.32,-2.86
201802,7.27,2.09
201803,4.14,-2.02
201804,5.94,1.13
201805,5.52,1.28
201806,4.58,0.3
201807,4.46,-0.98
201808,5.03,0.69
201809,6.21,2.43
201810,2.69,-0.14
201811,6.29,2.44
201812,9.95,4.8
201901,6.01,0.83
201902,6.21,1.03
201903,3.4,-2.76
201904,6.24,1.43
201905,3.59,-0.65
201906,4.47,0.19
201907,4.02,-1.42
201908,4.99,0.65
201909,0.41,-3.37
201910,7.12,4.29
201911,3.24,-0.61
201912,6.6,1.45
202001,7.44,2.26
202002,10.37,5.19
202003,6.18,0.02
202004,7.1,2.29
202005,3.64,-0.6
202006,5.16,0.88
202007,5.3,-0.14
202008,5.78,1.44
202009,6,2.22
202010,5.11,2.28
202011,2.75,-1.1
202012,3.84,-1.31
202101,3.72,-1.46
202102,4.23,-0.95
202103,8.08,1.92
202104,5.55,0.74
202105,4.67,0.43
202106,8.73,4.45
202107,7.53,2.09
202108,7.39,3.05
202109,4.8,1.02
202110,4.6,1.77
202111,1.19,-2.66
202112,4.7,-0.45
202201,4.85,-0.33
202202,5.5,0.32
202203,7.06,0.9
