Alaska, Precipitation
Units: Inches
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,1.93,-0.80
201002,1.60,-0.72
201003,2.61,0.38
201004,1.79,-0.10
201005,1.16,-0.95
201006,2.71,0.37
201007,4.56,1.28
201008,3.98,-0.39
201009,3.19,-1.38
201010,4.18,-0.21
201011,4.29,0.90
201012,1.85,-1.22
201101,2.56,-0.17
201102,2.86,0.54
201103,0.83,-1.40
201104,1.65,-0.24
201105,1.39,-0.72
201106,2.58,0.24
201107,3.70,0.42
201108,6.06,1.69
201109,5.01,0.44
201110,4.16,-0.23
201111,3.28,-0.11
201112,4.66,1.59
201201,2.79,0.06
201202,2.74,0.42
201203,1.82,-0.41
201204,1.05,-0.84
201205,2.63,0.52
201206,2.88,0.54
201207,4.21,0.93
201208,4.52,0.15
201209,7.25,2.68
201210,2.95,-1.44
201211,1.98,-1.41
201212,2.46,-0.61
201301,3.51,0.78
201302,2.84,0.52
201303,1.74,-0.49
201304,1.89,0.00
201305,2.39,0.28
201306,1.76,-0.58
201307,3.12,-0.16
201308,4.54,0.17
201309,5.42,0.85
201310,6.43,2.04
201311,4.06,0.67
201312,3.11,0.04
201401,4.34,1.61
201402,1.04,-1.28
201403,1.53,-0.70
201404,1.42,-0.47
201405,1.79,-0.32
201406,3.81,1.47
201407,4.59,1.31
201408,4.85,0.48
201409,4.82,0.25
201410,3.20,-1.19
201411,2.52,-0.87
201412,2.84,-0.23
201501,3.17,0.44
201502,1.84,-0.48
201503,2.26,0.03
201504,2.73,0.84
201505,1.82,-0.29
201506,2.07,-0.27
201507,3.92,0.64
201508,4.88,0.51
201509,6.21,1.64
201510,4.16,-0.23
201511,5.39,2.00
201512,1.65,-1.42
201601,2.71,-0.02
201602,2.48,0.16
201603,2.25,0.02
201604,2.30,0.41
201605,2.68,0.57
201606,2.68,0.34
201607,4.18,0.90
201608,5.20,0.83
201609,5.89,1.32
201610,1.70,-2.69
201611,2.90,-0.49
201612,2.10,-0.97
201701,2.90,0.17
201702,2.34,0.02
201703,1.19,-1.04
201704,0.90,-0.99
201705,2.76,0.65
201706,2.09,-0.25
201707,3.42,0.14
201708,6.02,1.65
201709,5.32,0.75
201710,5.23,0.84
201711,2.34,-1.05
201712,3.55,0.48
201801,2.44,-0.29
201802,2.08,-0.24
201803,2.03,-0.20
201804,2.08,0.19
201805,2.98,0.87
201806,3.01,0.67
201807,2.77,-0.51
201808,6.53,2.16
201809,2.57,-2.00
201810,4.92,0.53
201811,3.57,0.18
201812,2.92,-0.15
201901,2.50,-0.23
201902,2.20,-0.12
201903,2.53,0.30
201904,1.92,0.03
201905,2.37,0.26
201906,1.81,-0.53
201907,2.89,-0.39
201908,3.37,-1.00
201909,5.45,0.88
201910,4.82,0.43
201911,5.10,1.71
201912,3.04,-0.03
202001,1.89,-0.84
202002,3.01,0.69
202003,2.28,0.05
202004,2.73,0.84
202005,1.49,-0.62
202006,3.18,0.84
202007,3.39,0.11
202008,4.39,0.02
202009,4.07,-0.50
202010,3.39,-1.00
202011,3.99,0.60
202012,4.13,1.06
202101,3.17,0.44
202102,1.98,-0.34
202103,2.81,0.58
202104,2.06,0.17
202105,2.18,0.07
202106,2.78,0.44
202107,3.56,0.28
202108,5.41,1.04
202109,4.42,-0.15
202110,4.81,0.42
202111,2.50,-0.89
202112,4.00,0.93
202201,3.76,1.03
202202,4.38,2.06
202203,2.45,0.22
