Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,6.05,1.66
201002,3.57,-0.94
201003,3.68,-1.38
201004,2.36,-1.45
201005,5.15,1.44
201006,4.27,-0.22
201007,3.71,-1.89
201008,5.15,0.23
201009,3.27,-0.65
201010,1.48,-1.25
201011,2.08,-0.79
201012,2.27,-1.80
201101,3.33,-1.06
201102,3.70,-0.81
201103,5.97,0.91
201104,2.84,-0.97
201105,1.15,-2.56
201106,3.63,-0.86
201107,4.54,-1.06
201108,2.44,-2.48
201109,3.86,-0.06
201110,2.59,-0.14
201111,2.83,-0.04
201112,3.23,-0.84
201201,3.04,-1.35
201202,2.92,-1.59
201203,4.24,-0.82
201204,1.59,-2.22
201205,3.99,0.28
201206,4.73,0.24
201207,4.44,-1.16
201208,6.25,1.33
201209,2.91,-1.01
201210,1.91,-0.82
201211,1.07,-1.80
201212,4.93,0.86
201301,3.32,-1.07
201302,9.62,5.11
201303,3.99,-1.07
201304,5.09,1.28
201305,3.78,0.07
201306,7.56,3.07
201307,9.60,4.00
201308,7.60,2.68
201309,2.37,-1.55
201310,0.94,-1.79
201311,3.23,0.36
201312,6.39,2.32
201401,3.33,-1.06
201402,4.06,-0.45
201403,4.41,-0.65
201404,7.35,3.54
201405,3.87,0.16
201406,3.64,-0.85
201407,3.96,-1.64
201408,3.37,-1.55
201409,4.97,1.05
201410,2.78,0.05
201411,4.36,1.49
201412,5.31,1.24
201501,3.64,-0.75
201502,4.49,-0.02
201503,2.81,-2.25
201504,6.20,2.39
201505,2.17,-1.54
201506,4.25,-0.24
201507,4.65,-0.95
201508,5.78,0.86
201509,3.75,-0.17
201510,3.23,0.50
201511,6.28,3.41
201512,8.49,4.42
201601,3.78,-0.61
201602,4.87,0.36
201603,3.03,-2.03
201604,4.16,0.35
201605,2.78,-0.93
201606,4.02,-0.47
201607,2.75,-2.85
201608,4.00,-0.92
201609,3.49,-0.43
201610,1.39,-1.34
201611,0.95,-1.92
201612,5.68,1.61
201701,7.72,3.33
201702,2.09,-2.42
201703,2.11,-2.95
201704,3.74,-0.07
201705,5.60,1.89
201706,6.36,1.87
201707,4.86,-0.74
201708,4.58,-0.34
201709,5.01,1.09
201710,3.54,0.81
201711,1.00,-1.87
201712,3.19,-0.88
201801,2.82,-1.57
201802,4.29,-0.22
201803,3.55,-1.51
201804,4.16,0.35
201805,6.67,2.96
201806,5.06,0.57
201807,6.26,0.66
201808,5.54,0.62
201809,2.75,-1.17
201810,3.83,1.10
201811,6.24,3.37
201812,9.63,5.56
201901,4.94,0.55
201902,3.26,-1.25
201903,2.95,-2.11
201904,3.93,0.12
201905,2.30,-1.41
201906,5.95,1.46
201907,3.93,-1.67
201908,4.53,-0.39
201909,0.89,-3.03
201910,5.49,2.76
201911,3.18,0.31
201912,6.54,2.47
202001,4.94,0.55
202002,8.81,4.30
202003,5.31,0.25
202004,7.59,3.78
202005,3.18,-0.53
202006,3.75,-0.74
202007,3.95,-1.65
202008,6.91,1.99
202009,6.48,2.56
202010,3.45,0.72
202011,2.99,0.12
202012,3.10,-0.97
202101,4.60,0.21
202102,5.67,1.16
202103,4.89,-0.17
202104,3.66,-0.15
202105,2.83,-0.88
202106,6.17,1.68
202107,7.29,1.69
202108,6.81,1.89
202109,5.31,1.39
202110,4.41,1.68
202111,1.11,-1.76
202112,4.21,0.14
202201,3.97,-0.42
202202,3.46,-1.05
202203,4.86,-0.20
