Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.54,-0.48
201002,1.06,-1.40
201003,1.86,-0.46
201004,2.64,0.70
201005,2.77,0.65
201006,3.24,1.44
201007,0.52,-0.31
201008,0.83,-0.01
201009,0.94,-0.27
201010,2.49,0.75
201011,3.03,0.35
201012,4.22,1.32
201101,2.79,-0.23
201102,1.93,-0.53
201103,3.88,1.56
201104,3.18,1.24
201105,3.15,1.03
201106,1.96,0.16
201107,0.55,-0.28
201108,0.51,-0.33
201109,0.39,-0.82
201110,2.83,1.09
201111,1.99,-0.69
201112,1.53,-1.37
201201,3.33,0.31
201202,1.78,-0.68
201203,4.25,1.93
201204,2.12,0.18
201205,1.91,-0.21
201206,1.60,-0.20
201207,0.93,0.10
201208,0.28,-0.56
201209,0.32,-0.89
201210,2.32,0.58
201211,2.75,0.07
201212,4.12,1.22
201301,1.90,-1.12
201302,1.07,-1.39
201303,1.47,-0.85
201304,1.81,-0.13
201305,1.51,-0.61
201306,1.35,-0.45
201307,0.53,-0.30
201308,0.71,-0.13
201309,2.96,1.75
201310,0.85,-0.89
201311,1.72,-0.96
201312,1.76,-1.14
201401,2.02,-1.00
201402,3.68,1.22
201403,3.92,1.60
201404,2.15,0.21
201405,1.26,-0.86
201406,1.32,-0.48
201407,0.39,-0.44
201408,2.29,1.45
201409,1.53,0.32
201410,1.29,-0.45
201411,3.32,0.64
201412,3.30,0.40
201501,2.06,-0.96
201502,1.86,-0.60
201503,1.51,-0.81
201504,1.23,-0.71
201505,2.89,0.77
201506,0.77,-1.03
201507,1.37,0.54
201508,0.76,-0.08
201509,1.31,0.10
201510,1.69,-0.05
201511,2.51,-0.17
201512,4.56,1.66
201601,2.66,-0.36
201602,1.65,-0.81
201603,3.58,1.26
201604,1.65,-0.29
201605,2.21,0.09
201606,0.80,-1.00
201607,0.72,-0.11
201608,0.15,-0.69
201609,1.82,0.61
201610,4.54,2.80
201611,1.44,-1.24
201612,3.66,0.76
201701,3.33,0.31
201702,4.91,2.45
201703,4.14,1.82
201704,2.95,1.01
201705,1.60,-0.52
201706,1.69,-0.11
201707,0.33,-0.50
201708,0.35,-0.49
201709,2.09,0.88
201710,1.65,-0.09
201711,3.55,0.87
201712,2.24,-0.66
201801,2.78,-0.24
201802,2.33,-0.13
201803,2.75,0.43
201804,2.54,0.60
201805,2.47,0.35
201806,1.64,-0.16
201807,0.12,-0.71
201808,0.53,-0.31
201809,0.16,-1.05
201810,1.94,0.20
201811,2.38,-0.30
201812,2.24,-0.66
201901,2.22,-0.80
201902,4.78,2.32
201903,1.40,-0.92
201904,3.20,1.26
201905,2.83,0.71
201906,1.09,-0.71
201907,0.54,-0.29
201908,0.60,-0.24
201909,2.09,0.88
201910,1.58,-0.16
201911,0.82,-1.86
201912,2.26,-0.64
202001,3.96,0.94
202002,2.12,-0.34
202003,2.01,-0.31
202004,1.44,-0.50
202005,2.45,0.33
202006,2.99,1.19
202007,0.43,-0.40
202008,0.25,-0.59
202009,0.68,-0.53
202010,1.52,-0.22
202011,2.43,-0.25
202012,1.91,-0.99
202101,2.31,-0.71
202102,3.07,0.61
202103,1.18,-1.14
202104,0.86,-1.08
202105,1.38,-0.74
202106,0.56,-1.24
202107,0.59,-0.24
202108,1.22,0.38
202109,0.83,-0.38
202110,2.88,1.14
202111,2.18,-0.50
202112,3.86,0.96
202201,2.30,-0.72
202202,0.91,-1.55
202203,1.42,-0.90
