New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.41,-0.48
201002,2.72,0.19
201003,3.64,0.58
201004,2.09,-1.24
201005,2.63,-0.94
201006,5.57,1.80
201007,4.02,0.22
201008,4.47,0.77
201009,3.30,-0.41
201010,6.90,3.51
201011,2.86,-0.56
201012,3.31,0.19
201101,2.01,-0.88
201102,3.53,1.00
201103,4.51,1.45
201104,6.78,3.45
201105,6.17,2.60
201106,4.25,0.48
201107,2.55,-1.25
201108,7.76,4.06
201109,7.12,3.41
201110,4.61,1.22
201111,2.98,-0.44
201112,3.44,0.32
201201,3.29,0.40
201202,1.27,-1.26
201203,1.97,-1.09
201204,2.90,-0.43
201205,4.12,0.55
201206,3.34,-0.43
201207,3.14,-0.66
201208,3.19,-0.51
201209,4.91,1.20
201210,4.94,1.55
201211,1.18,-2.24
201212,5.31,2.19
201301,2.12,-0.77
201302,2.38,-0.15
201303,1.80,-1.26
201304,3.10,-0.23
201305,4.31,0.74
201306,7.46,3.69
201307,4.62,0.82
201308,3.85,0.15
201309,3.50,-0.21
201310,3.21,-0.18
201311,4.03,0.61
201312,3.61,0.49
201401,2.60,-0.29
201402,2.92,0.39
201403,3.05,-0.01
201404,3.57,0.24
201405,4.64,1.07
201406,5.11,1.34
201407,5.33,1.53
201408,3.69,-0.01
201409,2.12,-1.59
201410,3.98,0.59
201411,2.72,-0.70
201412,3.49,0.37
201501,2.34,-0.55
201502,2.00,-0.53
201503,1.61,-1.45
201504,3.02,-0.31
201505,2.75,-0.82
201506,7.69,3.92
201507,3.60,-0.20
201508,3.07,-0.63
201509,4.75,1.04
201510,3.70,0.31
201511,2.05,-1.37
201512,4.06,0.94
201601,1.73,-1.16
201602,4.36,1.83
201603,2.13,-0.93
201604,2.56,-0.77
201605,2.53,-1.04
201606,2.87,-0.90
201607,3.40,-0.40
201608,4.54,0.84
201609,2.49,-1.22
201610,5.43,2.04
201611,2.66,-0.76
201612,3.47,0.35
201701,3.40,0.51
201702,3.00,0.47
201703,3.44,0.38
201704,4.85,1.52
201705,5.85,2.28
201706,4.85,1.08
201707,5.24,1.44
201708,3.46,-0.24
201709,2.42,-1.29
201710,5.55,2.16
201711,2.76,-0.66
201712,2.56,-0.56
201801,3.45,0.56
201802,3.18,0.65
201803,3.00,-0.06
201804,3.86,0.53
201805,2.76,-0.81
201806,3.28,-0.49
201807,4.62,0.82
201808,5.36,1.66
201809,5.13,1.42
201810,4.73,1.34
201811,5.94,2.52
201812,3.27,0.15
201901,4.43,1.54
201902,2.72,0.19
201903,1.95,-1.11
201904,4.35,1.02
201905,5.33,1.76
201906,5.01,1.24
201907,3.67,-0.13
201908,3.91,0.21
201909,2.81,-0.90
201910,6.60,3.21
201911,3.43,0.01
201912,4.01,0.89
202001,2.78,-0.11
202002,3.03,0.50
202003,2.89,-0.17
202004,3.15,-0.18
202005,3.03,-0.54
202006,2.38,-1.39
202007,4.10,0.30
202008,4.61,0.91
202009,2.58,-1.13
202010,3.95,0.56
202011,2.78,-0.64
202012,4.00,0.88
202101,2.08,-0.81
202102,2.30,-0.23
202103,1.73,-1.33
202104,3.46,0.13
202105,3.04,-0.53
202106,3.36,-0.41
202107,8.10,4.30
202108,5.33,1.63
202109,4.92,1.21
202110,6.60,3.21
202111,2.66,-0.76
202112,2.62,-0.50
202201,2.06,-0.83
202202,3.80,1.27
202203,3.00,-0.06
