North Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.79,0.30
201002,0.56,0.10
201003,0.76,0.02
201004,1.58,0.21
201005,4.08,1.76
201006,3.61,0.18
201007,2.76,0.17
201008,2.40,0.28
201009,3.98,2.35
201010,1.09,0.01
201011,0.63,0.01
201012,1.24,0.75
201101,0.96,0.47
201102,0.33,-0.13
201103,1.05,0.31
201104,1.87,0.50
201105,4.06,1.74
201106,3.89,0.46
201107,3.79,1.20
201108,2.46,0.34
201109,1.49,-0.14
201110,1.06,-0.02
201111,0.16,-0.46
201112,0.32,-0.17
201201,0.33,-0.16
201202,0.51,0.05
201203,0.51,-0.23
201204,2.06,0.69
201205,2.04,-0.28
201206,2.62,-0.81
201207,2.21,-0.38
201208,1.52,-0.60
201209,0.20,-1.43
201210,1.97,0.89
201211,0.68,0.06
201212,0.44,-0.05
201301,0.34,-0.15
201302,0.52,0.06
201303,0.97,0.23
201304,1.06,-0.31
201305,5.50,3.18
201306,3.69,0.26
201307,2.20,-0.39
201308,1.63,-0.49
201309,2.76,1.13
201310,3.52,2.44
201311,0.21,-0.41
201312,0.88,0.39
201401,0.41,-0.08
201402,0.18,-0.28
201403,0.43,-0.31
201404,2.10,0.73
201405,2.38,0.06
201406,4.75,1.32
201407,1.57,-1.02
201408,4.44,2.32
201409,1.19,-0.44
201410,0.53,-0.55
201411,0.46,-0.16
201412,0.17,-0.32
201501,0.48,-0.01
201502,0.41,-0.05
201503,0.42,-0.32
201504,0.59,-0.78
201505,4.00,1.68
201506,3.63,0.20
201507,2.65,0.06
201508,1.59,-0.53
201509,1.57,-0.06
201510,1.32,0.24
201511,0.49,-0.13
201512,0.57,0.08
201601,0.22,-0.27
201602,0.39,-0.07
201603,0.53,-0.21
201604,2.53,1.16
201605,2.31,-0.01
201606,2.61,-0.82
201607,4.33,1.74
201608,2.44,0.32
201609,3.05,1.42
201610,1.23,0.15
201611,0.91,0.29
201612,1.30,0.81
201701,0.48,-0.01
201702,0.40,-0.06
201703,0.47,-0.27
201704,0.97,-0.40
201705,1.01,-1.31
201706,2.20,-1.23
201707,1.24,-1.35
201708,2.79,0.67
201709,2.47,0.84
201710,0.25,-0.83
201711,0.31,-0.31
201712,0.40,-0.09
201801,0.23,-0.26
201802,0.35,-0.11
201803,1.39,0.65
201804,0.50,-0.87
201805,1.97,-0.35
201806,4.53,1.10
201807,2.89,0.30
201808,1.45,-0.67
201809,1.65,0.02
201810,1.40,0.32
201811,0.76,0.14
201812,0.65,0.16
201901,0.42,-0.07
201902,1.01,0.55
201903,0.51,-0.23
201904,1.15,-0.22
201905,2.30,-0.02
201906,3.07,-0.36
201907,3.40,0.81
201908,2.85,0.73
201909,5.90,4.27
201910,2.41,1.33
201911,0.61,-0.01
201912,0.76,0.27
202001,0.38,-0.11
202002,0.17,-0.29
202003,0.24,-0.50
202004,0.80,-0.57
202005,1.39,-0.93
202006,2.48,-0.95
202007,3.94,1.35
202008,2.08,-0.04
202009,0.53,-1.10
202010,0.57,-0.51
202011,0.11,-0.51
202012,0.23,-0.26
202101,0.25,-0.24
202102,0.17,-0.29
202103,0.12,-0.62
202104,0.66,-0.71
202105,2.07,-0.25
202106,2.49,-0.94
202107,1.26,-1.33
202108,2.72,0.60
202109,1.21,-0.42
202110,3.34,2.26
202111,0.45,-0.17
202112,0.87,0.38
202201,0.45,-0.04
202202,0.35,-0.11
202203,0.21,-0.53
