South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.92,1.09
201002,3.34,-0.56
201003,3.06,-1.22
201004,1.34,-2.00
201005,3.60,0.02
201006,4.51,-0.17
201007,4.86,-0.68
201008,5.96,0.68
201009,4.91,0.67
201010,1.47,-1.52
201011,1.23,-1.38
201012,1.99,-1.62
201101,1.87,-1.96
201102,3.40,-0.50
201103,5.02,0.74
201104,2.87,-0.47
201105,2.95,-0.63
201106,2.62,-2.06
201107,3.89,-1.65
201108,4.27,-1.01
201109,4.27,0.03
201110,2.25,-0.74
201111,2.85,0.24
201112,1.95,-1.66
201201,2.19,-1.64
201202,2.23,-1.67
201203,3.64,-0.64
201204,2.55,-0.79
201205,5.72,2.14
201206,4.17,-0.51
201207,5.51,-0.03
201208,7.45,2.17
201209,2.54,-1.70
201210,1.77,-1.22
201211,1.46,-1.15
201212,4.54,0.93
201301,2.48,-1.35
201302,6.20,2.30
201303,3.35,-0.93
201304,4.70,1.36
201305,3.56,-0.02
201306,7.70,3.02
201307,10.38,4.84
201308,6.40,1.12
201309,2.04,-2.20
201310,1.16,-1.83
201311,3.16,0.55
201312,5.26,1.65
201401,3.15,-0.68
201402,3.31,-0.59
201403,4.34,0.06
201404,4.24,0.90
201405,3.97,0.39
201406,3.43,-1.25
201407,4.62,-0.92
201408,4.31,-0.97
201409,5.47,1.23
201410,1.81,-1.18
201411,4.44,1.83
201412,3.94,0.33
201501,3.56,-0.27
201502,4.06,0.16
201503,3.18,-1.10
201504,4.47,1.13
201505,1.63,-1.95
201506,4.12,-0.56
201507,3.47,-2.07
201508,5.71,0.43
201509,4.35,0.11
201510,12.17,9.18
201511,7.24,4.63
201512,6.70,3.09
201601,2.83,-1.00
201602,4.66,0.76
201603,2.21,-2.07
201604,2.40,-0.94
201605,5.58,2.00
201606,3.61,-1.07
201607,3.78,-1.76
201608,3.84,-1.44
201609,6.83,2.59
201610,5.55,2.56
201611,0.99,-1.62
201612,3.97,0.36
201701,4.88,1.05
201702,1.38,-2.52
201703,2.34,-1.94
201704,5.51,2.17
201705,5.15,1.57
201706,4.43,-0.25
201707,5.50,-0.04
201708,4.55,-0.73
201709,4.83,0.59
201710,3.25,0.26
201711,1.19,-1.42
201712,3.56,-0.05
201801,2.82,-1.01
201802,2.23,-1.67
201803,3.11,-1.17
201804,4.49,1.15
201805,6.19,2.61
201806,3.72,-0.96
201807,6.03,0.49
201808,4.27,-1.01
201809,6.13,1.89
201810,4.61,1.62
201811,5.72,3.11
201812,7.98,4.37
201901,3.60,-0.23
201902,2.48,-1.42
201903,2.52,-1.76
201904,3.99,0.65
201905,2.15,-1.43
201906,5.94,1.26
201907,3.91,-1.63
201908,4.83,-0.45
201909,2.19,-2.05
201910,4.01,1.02
201911,3.48,0.87
201912,6.93,3.32
202001,4.12,0.29
202002,7.17,3.27
202003,4.26,-0.02
202004,5.14,1.80
202005,6.64,3.06
202006,4.27,-0.41
202007,4.69,-0.85
202008,6.95,1.67
202009,6.62,2.38
202010,2.69,-0.30
202011,4.49,1.88
202012,2.83,-0.78
202101,4.67,0.84
202102,6.28,2.38
202103,3.26,-1.02
202104,1.67,-1.67
202105,2.55,-1.03
202106,6.09,1.41
202107,6.60,1.06
202108,5.48,0.20
202109,4.10,-0.14
202110,2.74,-0.25
202111,0.93,-1.68
202112,3.10,-0.51
202201,4.18,0.35
202202,2.06,-1.84
202203,3.55,-0.73
