Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.37,0.88
201002,2.59,0.99
201003,1.87,0.21
201004,2.69,0.33
201005,2.27,-1.10
201006,2.78,-0.08
201007,5.12,2.79
201008,1.28,-1.03
201009,4.31,1.38
201010,0.76,-1.77
201011,1.04,-0.82
201012,0.73,-1.05
201101,1.55,0.06
201102,0.65,-0.95
201103,0.27,-1.39
201104,0.70,-1.66
201105,1.56,-1.81
201106,0.98,-1.88
201107,0.74,-1.59
201108,0.74,-1.57
201109,1.14,-1.79
201110,2.23,-0.30
201111,1.28,-0.58
201112,2.86,1.08
201201,2.27,0.78
201202,2.29,0.69
201203,3.07,1.41
201204,1.27,-1.09
201205,2.88,-0.49
201206,1.86,-1.00
201207,2.70,0.37
201208,1.84,-0.47
201209,3.95,1.02
201210,0.69,-1.84
201211,0.31,-1.55
201212,0.97,-0.81
201301,2.46,0.97
201302,1.21,-0.39
201303,0.66,-1.00
201304,1.77,-0.59
201305,2.42,-0.95
201306,2.33,-0.53
201307,3.10,0.77
201308,1.41,-0.90
201309,4.05,1.12
201310,3.31,0.78
201311,1.94,0.08
201312,1.36,-0.42
201401,0.37,-1.12
201402,0.73,-0.87
201403,1.11,-0.55
201404,0.98,-1.38
201405,4.10,0.73
201406,3.01,0.15
201407,2.58,0.25
201408,1.73,-0.58
201409,3.59,0.66
201410,1.76,-0.77
201411,2.83,0.97
201412,1.22,-0.56
201501,2.67,1.18
201502,1.09,-0.51
201503,3.47,1.81
201504,3.96,1.60
201505,9.05,5.68
201506,3.72,0.86
201507,1.85,-0.48
201508,1.43,-0.88
201509,1.43,-1.50
201510,6.17,3.64
201511,3.87,2.01
201512,2.52,0.74
201601,0.95,-0.54
201602,1.06,-0.54
201603,2.85,1.19
201604,4.30,1.94
201605,4.86,1.49
201606,3.37,0.51
201607,1.31,-1.02
201608,5.33,3.02
201609,2.96,0.03
201610,0.67,-1.86
201611,2.34,0.48
201612,2.10,0.32
201701,2.28,0.79
201702,1.71,0.11
201703,1.88,0.22
201704,2.75,0.39
201705,2.54,-0.83
201706,3.11,0.25
201707,2.46,0.13
201708,7.00,4.69
201709,2.61,-0.32
201710,1.25,-1.28
201711,0.73,-1.13
201712,1.96,0.18
201801,0.64,-0.85
201802,2.43,0.83
201803,1.96,0.30
201804,1.05,-1.31
201805,2.08,-1.29
201806,2.49,-0.37
201807,2.15,-0.18
201808,2.17,-0.14
201809,6.71,3.78
201810,6.92,4.39
201811,1.78,-0.08
201812,3.34,1.56
201901,1.50,0.01
201902,0.92,-0.68
201903,1.21,-0.45
201904,3.58,1.22
201905,5.23,1.86
201906,4.27,1.41
201907,1.29,-1.04
201908,1.42,-0.89
201909,2.43,-0.50
201910,2.71,0.18
201911,1.42,-0.44
201912,0.88,-0.90
202001,1.96,0.47
202002,1.90,0.30
202003,3.17,1.51
202004,1.86,-0.50
202005,3.54,0.17
202006,2.15,-0.71
202007,2.28,-0.05
202008,1.32,-0.99
202009,4.21,1.28
202010,1.01,-1.52
202011,0.95,-0.91
202012,1.82,0.04
202101,1.69,0.20
202102,0.99,-0.61
202103,1.31,-0.35
202104,2.14,-0.22
202105,6.22,2.85
202106,4.07,1.21
202107,3.99,1.66
202108,2.78,0.47
202109,1.40,-1.53
202110,2.43,-0.10
202111,1.16,-0.70
202112,0.64,-1.14
202201,0.67,-0.82
202202,1.06,-0.54
202203,1.20,-0.46
