Vermont, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.51,-0.44
201002,3.11,0.56
201003,3.94,0.89
201004,3.32,0.04
201005,2.34,-1.30
201006,5.73,1.79
201007,3.98,-0.17
201008,4.52,0.53
201009,3.40,-0.49
201010,9.16,5.64
201011,3.17,-0.44
201012,4.03,0.88
201101,2.29,-0.66
201102,3.56,1.01
201103,4.70,1.65
201104,6.22,2.94
201105,6.77,3.13
201106,4.96,1.02
201107,3.43,-0.72
201108,10.08,6.09
201109,6.11,2.22
201110,4.48,0.96
201111,2.06,-1.55
201112,3.56,0.41
201201,2.95,0.00
201202,1.22,-1.33
201203,1.77,-1.28
201204,3.30,0.02
201205,5.56,1.92
201206,3.87,-0.07
201207,3.54,-0.61
201208,3.29,-0.70
201209,5.51,1.62
201210,5.18,1.66
201211,1.13,-2.48
201212,5.03,1.88
201301,1.87,-1.08
201302,1.92,-0.63
201303,2.38,-0.67
201304,2.62,-0.66
201305,5.98,2.34
201306,7.96,4.02
201307,6.33,2.18
201308,3.41,-0.58
201309,4.41,0.52
201310,2.37,-1.15
201311,3.88,0.27
201312,3.43,0.28
201401,3.11,0.16
201402,3.18,0.63
201403,3.38,0.33
201404,3.25,-0.03
201405,4.68,1.04
201406,4.57,0.63
201407,6.27,2.12
201408,3.48,-0.51
201409,1.85,-2.04
201410,5.13,1.61
201411,2.55,-1.06
201412,4.63,1.48
201501,2.79,-0.16
201502,1.79,-0.76
201503,1.34,-1.71
201504,2.71,-0.57
201505,3.06,-0.58
201506,8.63,4.69
201507,4.08,-0.07
201508,2.95,-1.04
201509,4.73,0.84
201510,3.48,-0.04
201511,1.81,-1.80
201512,5.07,1.92
201601,1.62,-1.33
201602,4.71,2.16
201603,2.96,-0.09
201604,2.60,-0.68
201605,2.74,-0.90
201606,3.29,-0.65
201607,3.83,-0.32
201608,4.82,0.83
201609,2.12,-1.77
201610,3.55,0.03
201611,2.78,-0.83
201612,3.60,0.45
201701,2.53,-0.42
201702,2.84,0.29
201703,3.30,0.25
201704,4.19,0.91
201705,5.72,2.08
201706,6.46,2.52
201707,4.23,0.08
201708,3.55,-0.44
201709,2.93,-0.96
201710,5.26,1.74
201711,2.19,-1.42
201712,3.10,-0.05
201801,3.49,0.54
201802,2.95,0.40
201803,3.03,-0.02
201804,4.70,1.42
201805,1.99,-1.65
201806,3.85,-0.09
201807,4.35,0.20
201808,4.20,0.21
201809,4.03,0.14
201810,4.40,0.88
201811,6.33,2.72
201812,3.75,0.60
201901,5.05,2.10
201902,2.71,0.16
201903,2.06,-0.99
201904,5.59,2.31
201905,5.66,2.02
201906,5.61,1.67
201907,3.39,-0.76
201908,3.79,-0.20
201909,3.18,-0.71
201910,6.83,3.31
201911,3.98,0.37
201912,3.55,0.40
202001,2.82,-0.13
202002,3.23,0.68
202003,2.93,-0.12
202004,3.94,0.66
202005,2.95,-0.69
202006,2.38,-1.56
202007,4.07,-0.08
202008,4.35,0.36
202009,2.63,-1.26
202010,4.52,1.00
202011,2.91,-0.70
202012,3.48,0.33
202101,2.16,-0.79
202102,2.21,-0.34
202103,1.50,-1.55
202104,3.94,0.66
202105,2.54,-1.10
202106,2.95,-0.99
202107,7.53,3.38
202108,3.66,-0.33
202109,3.89,0.00
202110,4.82,1.30
202111,3.32,-0.29
202112,3.06,-0.09
202201,1.42,-1.53
202202,4.07,1.52
202203,3.04,-0.01
