Washington, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,6.24,0.18
201002,3.38,-1.36
201003,3.72,-0.43
201004,4.04,1.21
201005,4.28,2.03
201006,3.28,1.39
201007,0.41,-0.49
201008,0.74,-0.28
201009,3.46,1.51
201010,4.29,0.63
201011,5.78,-0.33
201012,7.70,1.23
201101,6.53,0.47
201102,4.09,-0.65
201103,7.81,3.66
201104,4.67,1.84
201105,4.09,1.84
201106,1.44,-0.45
201107,1.06,0.16
201108,0.20,-0.82
201109,1.29,-0.66
201110,3.34,-0.32
201111,6.10,-0.01
201112,3.20,-3.27
201201,6.35,0.29
201202,4.76,0.02
201203,7.87,3.72
201204,3.93,1.10
201205,2.31,0.06
201206,3.93,2.04
201207,1.43,0.53
201208,0.10,-0.92
201209,0.16,-1.79
201210,6.47,2.81
201211,7.31,1.20
201212,8.25,1.78
201301,3.97,-2.09
201302,2.76,-1.98
201303,3.75,-0.40
201304,4.23,1.40
201305,3.01,0.76
201306,2.26,0.37
201307,0.16,-0.74
201308,1.60,0.58
201309,5.60,3.65
201310,1.37,-2.29
201311,4.03,-2.08
201312,2.94,-3.53
201401,4.42,-1.64
201402,6.28,1.54
201403,7.78,3.63
201404,3.78,0.95
201405,2.44,0.19
201406,1.73,-0.16
201407,0.77,-0.13
201408,1.47,0.45
201409,1.79,-0.16
201410,6.01,2.35
201411,6.10,-0.01
201412,6.23,-0.24
201501,4.96,-1.10
201502,4.30,-0.44
201503,4.32,0.17
201504,1.82,-1.01
201505,1.51,-0.74
201506,0.47,-1.42
201507,0.42,-0.48
201508,1.33,0.31
201509,1.50,-0.45
201510,4.18,0.52
201511,7.02,0.91
201512,11.42,4.95
201601,6.82,0.76
201602,5.08,0.34
201603,6.99,2.84
201604,1.60,-1.23
201605,1.54,-0.71
201606,1.83,-0.06
201607,1.16,0.26
201608,0.36,-0.66
201609,1.67,-0.28
201610,10.29,6.63
201611,6.87,0.76
201612,4.93,-1.54
201701,3.64,-2.42
201702,7.17,2.43
201703,8.53,4.38
201704,4.88,2.05
201705,2.42,0.17
201706,1.55,-0.34
201707,0.04,-0.86
201708,0.14,-0.88
201709,1.35,-0.60
201710,5.06,1.40
201711,8.86,2.75
201712,5.09,-1.38
201801,7.74,1.68
201802,4.39,-0.35
201803,3.29,-0.86
201804,5.47,2.64
201805,1.08,-1.17
201806,1.36,-0.53
201807,0.17,-0.73
201808,0.35,-0.67
201809,1.59,-0.36
201810,3.65,-0.01
201811,5.21,-0.90
201812,7.02,0.55
201901,4.51,-1.55
201902,4.09,-0.65
201903,1.41,-2.74
201904,3.50,0.67
201905,1.82,-0.43
201906,1.05,-0.84
201907,0.91,0.01
201908,0.94,-0.08
201909,3.62,1.67
201910,3.79,0.13
201911,1.85,-4.26
201912,5.58,-0.89
202001,10.52,4.46
202002,4.92,0.18
202003,2.83,-1.32
202004,1.37,-1.46
202005,3.52,1.27
202006,2.39,0.50
202007,0.38,-0.52
202008,0.45,-0.57
202009,2.42,0.47
202010,3.99,0.33
202011,6.40,0.29
202012,6.06,-0.41
202101,7.39,1.33
202102,5.70,0.96
202103,2.45,-1.70
202104,0.99,-1.84
202105,1.23,-1.02
202106,1.41,-0.48
202107,0.06,-0.84
202108,0.68,-0.34
202109,3.12,1.17
202110,5.26,1.60
202111,9.23,3.12
202112,6.38,-0.09
202201,6.60,0.54
202202,3.16,-1.58
202203,3.43,-0.72
