Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,25.0,-1.8
201002,25.7,-4.0
201003,42.2,3.9
201004,55.4,6.0
201005,63.4,3.3
201006,72.2,3.1
201007,75.1,2.1
201008,74.2,3.2
201009,65.9,1.4
201010,54.7,1.9
201011,41.9,0.9
201012,24.8,-5.9
201101,23.5,-3.3
201102,30.5,0.8
201103,39.6,1.3
201104,52.1,2.7
201105,61.7,1.6
201106,70.4,1.3
201107,77.3,4.3
201108,71.9,0.9
201109,64.2,-0.3
201110,52.7,-0.1
201111,46.9,5.9
201112,36.9,6.2
201201,32.1,5.3
201202,35.1,5.4
201203,52.2,13.9
201204,50.2,0.8
201205,66.4,6.3
201206,70.3,1.2
201207,77.5,4.5
201208,71.4,0.4
201209,63.3,-1.2
201210,52.4,-0.4
201211,39.6,-1.4
201212,37.7,7.0
201301,30.5,3.7
201302,29.2,-0.5
201303,35.0,-3.3
201304,50.6,1.2
201305,63.2,3.1
201306,69.5,0.4
201307,72.5,-0.5
201308,70.2,-0.8
201309,64.5,0.0
201310,54.3,1.5
201311,39.0,-2.0
201312,32.0,1.3
201401,19.8,-7.0
201402,23.4,-6.3
201403,33.6,-4.7
201404,51.4,2.0
201405,61.7,1.6
201406,70.6,1.5
201407,69.4,-3.6
201408,71.0,0.0
201409,64.0,-0.5
201410,53.3,0.5
201411,36.8,-4.2
201412,35.3,4.6
201501,24.4,-2.4
201502,17.3,-12.4
201503,35.9,-2.4
201504,51.5,2.1
201505,65.0,4.9
201506,69.8,0.7
201507,71.6,-1.4
201508,70.1,-0.9
201509,68.4,3.9
201510,54.4,1.6
201511,47.3,6.3
201512,43.7,13.0
201601,27.2,0.4
201602,33.6,3.9
201603,46.5,8.2
201604,50.2,0.8
201605,59.7,-0.4
201606,71.2,2.1
201607,74.8,1.8
201608,76.0,5.0
201609,69.2,4.7
201610,57.7,4.9
201611,45.8,4.8
201612,31.0,0.3
201701,34.6,7.8
201702,40.5,10.8
201703,40.4,2.1
201704,56.6,7.2
201705,60.1,0.0
201706,69.6,0.5
201707,73.0,0.0
201708,69.7,-1.3
201709,65.8,1.3
201710,57.4,4.6
201711,41.8,0.8
201712,29.2,-1.5
201801,25.0,-1.8
201802,36.6,6.9
201803,36.4,-1.9
201804,45.1,-4.3
201805,68.0,7.9
201806,71.4,2.3
201807,73.8,0.8
201808,73.6,2.6
201809,69.6,5.1
201810,54.3,1.5
201811,37.4,-3.6
201812,35.1,4.4
201901,27.4,0.6
201902,33.0,3.3
201903,36.8,-1.5
201904,52.3,2.9
201905,62.8,2.7
201906,68.8,-0.3
201907,75.9,2.9
201908,71.8,0.8
201909,69.8,5.3
201910,56.5,3.7
201911,37.4,-3.6
201912,36.2,5.5
202001,34.9,8.1
202002,32.8,3.1
202003,44.7,6.4
202004,47.8,-1.6
202005,58.4,-1.7
202006,70.4,1.3
202007,76.9,3.9
202008,72.2,1.2
202009,64.7,0.2
202010,53.5,0.7
202011,46.4,5.4
202012,33.6,2.9
202101,30.9,4.1
202102,25.3,-4.4
202103,44.8,6.5
202104,51.4,2.0
202105,58.8,-1.3
202106,71.5,2.4
202107,72.9,-0.1
202108,74.6,3.6
202109,66.9,2.4
202110,60.3,7.5
202111,40.5,-0.5
202112,40.2,9.5
202201,24.0,-2.8
